City,Pop1,Pop2,Pop3,U1,U2,U3
Elmore village,"1,410","1,410","1,408","1,409",,,
Elmwood Place village,"2,188","2,188","2,187","2,183",,,
Elyria city,"54,533","54,533","54,564","54,581",,,
Empire village,299,299,299,295,,,
Englewood city,"13,465","13,465","13,482","13,527",,,
Enon village,"2,415","2,415","2,412","2,404",,,
Euclid city,"48,920","48,920","48,838","48,541",,,
Evendale village,"2,767","2,767","2,765","2,761",,,
Fairborn city,"32,352","32,352","32,359","32,620",,,
Fairfax village,"1,699","1,699","1,697","1,695",,,
Fairfield city,"42,510","42,510","42,594","42,730",,,
Fairlawn city,"7,437","7,437","7,434","7,411",,,
Fairport Harbor village,"3,109","3,109","3,109","3,107",,,
Fairview village,83,83,83,83,,,
Fairview Park city,"16,826","16,826","16,798","16,694",,,
Farmersville village,"1,009","1,009","1,011","1,015",,,
Fayette village,"1,283","1,283","1,283","1,278",,,
Fayetteville village,330,330,330,329,,,
Felicity village,818,818,819,825,,,
Findlay city,"41,202","41,202","41,171","41,351",,,
Fletcher village,473,473,472,474,,,
Florida village,232,232,232,232,,,
Flushing village,879,879,878,877,,,
Forest village,"1,461","1,461","1,462","1,458",,,
Forest Park city,"18,720","18,720","18,709","18,673",,,
Fort Jennings village,485,485,484,483,,,
Fort Loramie village,"1,478","1,478","1,476","1,474",,,
Fort Recovery village,"1,430","1,430","1,430","1,429",,,
Fort Shawnee village,"3,726","3,726","3,722","3,716",,,
Fostoria city,"13,441","13,441","13,422","13,411",,,
Frankfort village,"1,064","1,064","1,066","1,066",,,
Franklin city,"11,771","11,771","11,804","11,896",,,
Frazeysburg village,"1,326","1,326","1,328","1,329",,,
Fredericksburg village,423,423,423,423,,,
Fredericktown village,"2,493","2,493","2,496","2,508",,,
Freeport village,369,369,368,370,,,
Fremont city,"16,734","16,734","16,725","16,677",,,
Fulton village,258,258,258,259,,,
Fultonham village,176,176,176,178,,,
Gahanna city,"33,248","33,248","33,317","33,694",,,
Galena village,653,653,657,669,,,
Galion city,"10,512","10,512","10,504","10,416",,,
Gallipolis village,"3,641","3,641","3,645","3,644",,,
Gambier village,"2,391","2,391","2,391","2,396",,,
Gann village,125,125,125,125,,,
Garfield Heights city,"28,849","28,849","28,801","28,625",,,
Garrettsville village,"2,325","2,329","2,329","2,333",,,
Gates Mills village,"2,270","2,270","2,267","2,251",,,
Geneva city,"6,215","6,215","6,212","6,206",,,
Geneva-on-the-Lake village,"1,288","1,288","1,288","1,286",,,
Genoa village,"2,336","2,336","2,335","2,335",,,
Georgetown village,"4,331","4,484","4,485","4,470",,,
Germantown village,"5,547","5,547","5,553","5,574",,,
Gettysburg village,513,513,513,511,,,
Gibsonburg village,"2,581","2,581","2,580","2,572",,,
Gilboa village,184,184,184,183,,,
Girard city,"9,958","9,958","9,942","9,907",,,
Glandorf village,"1,001","1,001",999,996,,,
Glendale village,"2,155","2,155","2,154","2,150",,,
Glenford village,173,173,173,176,,,
Glenmont village,272,272,272,275,,,
Glenwillow village,923,923,922,916,,,
Gloria Glens Park village,425,425,427,428,,,
Glouster village,"1,791","1,791","1,791","1,791",,,
Gnadenhutten village,"1,288","1,288","1,287","1,287",,,
Golf Manor village,"3,611","3,611","3,608","3,601",,,
Gordon village,212,212,212,211,,,
Grafton village,"6,636","6,636","6,637","6,639",,,
Grand Rapids village,965,967,967,973,,,
Grand River village,399,399,399,400,,,
Grandview Heights city,"6,536","6,536","6,551","6,625",,,
Granville village,"5,646","5,646","5,651","5,662",,,
Gratiot village,221,221,221,221,,,
Gratis village,881,881,880,877,,,
Graysville village,76,76,76,76,,,
Green city,"25,699","25,699","25,685","25,604",,,
Green Camp village,374,374,374,373,,,
Greenfield city,"4,639","4,639","4,640","4,623",,,
Greenhills village,"3,615","3,615","3,614","3,605",,,
Green Springs village,"1,368","1,368","1,367","1,362",,,
Greenville city,"13,227","13,227","13,235","13,189",,,
Greenwich village,"1,476","1,476","1,475","1,473",,,
Grove City city,"35,575","35,575","35,649","36,052",,,
Groveport village,"5,363","5,363","5,375","5,435",,,
Grover Hill village,402,402,402,397,,,
Hamden village,879,879,880,875,,,
Hamersville village,546,546,546,544,,,
Hamilton city,"62,477","62,477","62,596","62,795",,,
Hamler village,576,576,576,573,,,
Hanging Rock village,221,221,221,222,,,
Hanover village,921,921,921,925,,,
Hanoverton village,408,408,408,408,,,
Harbor View village,123,123,123,123,,,
Harpster village,204,204,204,205,,,
Harrisburg village,320,320,320,325,,,
Harrison city,"9,897","9,897","9,892","9,871",,,
Harrisville village,235,235,235,234,,,
Harrod village,417,417,417,417,,,
Hartford village,397,397,397,399,,,
Hartville village,"2,944","2,944","2,942","2,941",,,
Harveysburg village,546,546,548,551,,,
Haskins village,"1,188","1,188","1,188","1,196",,,
Haviland village,215,215,215,214,,,
Hayesville village,448,448,448,449,,,
Heath city,"10,310","10,310","10,325","10,357",,,
Hebron village,"2,336","2,336","2,338","2,347",,,
Helena village,224,224,224,224,,,
Hemlock village,155,155,155,157,,,
Hicksville village,"3,581","3,581","3,578","3,568",,,
Higginsport village,251,251,251,251,,,
Highland village,254,254,254,252,,,
Highland Heights city,"8,345","8,345","8,331","8,280",,,
Highland Hills village,"1,130","1,130","1,129","1,125",,,
Hilliard city,"28,435","28,435","28,493","28,816",,,
Hills and Dales village,221,221,221,221,,,
Hillsboro city,"6,605","6,607","6,609","6,585",,,
Hiram village,"1,406","1,406","1,405","1,407",,,
Holgate village,"1,109","1,109","1,106","1,104",,,
Holiday City village,52,52,52,52,,,
Holland village,"1,764","1,764","1,764","1,758",,,
Hollansburg village,227,227,227,226,,,
Holloway village,338,338,338,336,,,
Holmesville village,372,372,372,376,,,
Hopedale village,950,950,951,949,,,
Hoytville village,303,303,303,305,,,
Hubbard city,"7,874","7,874","7,860","7,834",,,
